identifier,Crack,Contact,Corrosion,Interconnect
20170505_032228_SHELL_M55_6330431490,0.0,0.0436622,0.0037688,0.006640399999999999
20170505_032848_SHELL_M55_6320427401,0.0101528,0.0680699,0.0003589,0.0183571
20170505_033514_SHELL_M55_6330431474,0.0004823,0.0720124,0.0011423,0.0109655
20170505_042900_SHELL_M55_6330431490,0.3668855,0.0601479,0.0,0.0373552
20170505_084506_SHELL_M55_6320427401,0.0310282,0.0506345,7.77e-05,0.0173789
20170505_114135_SHELL_M55_6320427304,0.024070499999999998,0.006087199999999999,0.0350323,0.0061881
20170505_114208_SHELL_M55_6320427304,0.0173896,0.0128914,0.022616499999999998,0.3361308
20170505_114927_SHELL_M55_6320427434,0.0,0.0677226,0.0012945,0.0520356
20170505_150638_SHELL_M55_6320427304,0.2078384,0.0350288,0.005685900000000001,0.013224699999999999
20170505_152441_SHELL_M55_6320427321,0.0,0.1834613,0.0107436,0.0066154
20170505_152635_SHELL_M55_6320427321,0.0073104,0.1308509,0.025256400000000002,0.0064473
20170505_153710_SHELL_M55_6320427254,0.0,0.1006377,0.0038009,0.010892599999999999
20170505_154628_SHELL_M55_6320427398,0.0,0.1257908,0.0047193,0.0207909
20170505_154726_SHELL_M55_6320427398,0.0,0.1074487,0.0007908,0.0136479
20170505_155623_SHELL_M55_6330431033,0.0,0.0160168,0.0081987,0.0107373
20170505_160459_SHELL_M55_6320427744,0.0,0.1159231,0.0114872,0.0093844
20170505_161155_SHELL_M55_6330432606,0.0,0.027732999999999997,0.006506,0.0146193
20170505_161912_SHELL_M55_6330431478,0.0,0.0215052,0.0031633,0.0230612
20170505_162605_SHELL_M55_6320427276,0.0,0.0638908,0.0014613,0.0066404
20170505_163211_SHELL_M55_6330431102,0.0005051,0.2321894,0.06866699999999999,0.0082581
20170505_163807_SHELL_M55_6320427328,0.046037100000000004,0.155551,0.0154545,0.034578
20170505_164415_SHELL_M55_6320427323,0.0,0.1036142,0.0158898,0.0069041
20170505_165014_SHELL_M55_6330431023,0.1076985,0.1377806,0.0349818,0.0145232
20170505_165749_SHELL_M55_6320427428,0.07949990000000001,0.076668,0.0500318,0.025589999999999998
20180410_173805_SHELL_M55_6330431474,0.0003035,1.8333295,0.0,0.0298134
20180410_174325_SHELL_M55_6330431474,0.0,0.0,0.0052685,0.0
20180410_174845_SHELL_M55_6330431474,0.0003035,1.8601783,0.0,0.0143581
20180410_175404_SHELL_M55_6330431474,0.0,0.0,0.0275334,0.0
20180410_175924_SHELL_M55_6330431474,9.34e-05,1.7686131,0.0,0.0076109
20180410_180444_SHELL_M55_6330431474,0.0,0.0036592,9.21e-05,0.0
20180410_181004_SHELL_M55_6330431474,0.0045526,1.5859734,0.0,0.0010039
20180410_181523_SHELL_M55_6330431474,0.001133,0.0,0.0,0.0
20180410_182043_SHELL_M55_6330431474,0.0167394,1.5202528,0.0,0.0011907
20180410_182603_SHELL_M55_6330431474,0.0008093,0.0183592,0.0,0.0
20180410_183123_SHELL_M55_6330431474,0.016365900000000003,1.3988745,0.0,0.0026382
20180410_183643_SHELL_M55_6330431474,0.0,0.1025479,0.0,0.0
20180410_184203_SHELL_M55_6330431474,0.0194943,1.2527492,0.0,0.0033852
20180410_184722_SHELL_M55_6330431474,0.0023004,0.3029326,0.0,0.0
20180410_185242_SHELL_M55_6330431474,0.0204282,1.0675181,0.0,0.0029884
20180410_185802_SHELL_M55_6330431474,0.0014639,0.44172259999999997,0.0,0.0
20180410_190322_SHELL_M55_6330431474,0.0224826,0.8869799,0.0,0.0039456
20180410_190842_SHELL_M55_6330431474,0.0023113,0.6446898,0.0,0.000607
20180410_191402_SHELL_M55_6330431474,0.0063503,0.7865664,0.0,2.33e-05
20180410_191922_SHELL_M55_6330431474,0.0,0.0,0.0021432,0.0
20180410_194954_SHELL_M55_6330427254,0.0187285,1.4617296,0.0,0.015312800000000001
20180410_195514_SHELL_M55_6330427254,0.0,0.0008358,0.0901101,0.0
20180410_200034_SHELL_M55_6330427254,0.1789665,1.5451016,0.0,0.0088531
20180410_200553_SHELL_M55_6330427254,0.0,0.0,0.12720140000000002,0.0
20180410_201113_SHELL_M55_6330427254,0.2327586,1.5372478,0.0,0.0106655
20180410_201633_SHELL_M55_6330427254,0.0,0.0,0.0770985,0.0
20180412_113732_SHELL_M55_6330427474,0.0173231,1.4114584,0.0,0.0432376
20180412_114253_SHELL_M55_6330427474,0.0,0.0,0.0,0.0
20180412_114813_SHELL_M55_6330427474,0.0378914,1.4954592,0.0,0.049751500000000004
20180412_115332_SHELL_M55_6330427474,0.0,0.0,0.0059785,0.0
20180412_115853_SHELL_M55_6330427474,0.0220391,1.5774051,0.0,0.058412900000000004
20180412_120412_SHELL_M55_6330427474,0.0,0.0157415,0.0002532,0.0
20180412_120932_SHELL_M55_6330427474,0.0267317,1.5422454,0.0,0.0641562
20180412_121452_SHELL_M55_6330427474,0.0024625000000000003,0.067868,0.0,0.0013578
20180412_122012_SHELL_M55_6330427474,0.0296033,1.4196996,0.0,0.0936194
20180412_122532_SHELL_M55_6330427474,0.0075053,0.0810252,0.0,0.0340413
20180412_123052_SHELL_M55_6330427474,0.0306306,1.3601197,0.0,0.08484109999999999
20180412_123612_SHELL_M55_6330427474,0.0326703,0.1256158,0.0,0.0228878
20180412_124132_SHELL_M55_6330427474,0.0314944,1.2430368,0.0,0.0761562
20180412_124651_SHELL_M55_6330427474,0.0317176,0.2856912,0.0,0.0776094
20180412_125211_SHELL_M55_6330427474,0.0340858,1.1711532,0.0,0.0668877
20180412_125731_SHELL_M55_6330427474,0.0298123,0.439307,0.0,0.0586718
20180412_130251_SHELL_M55_6330427474,0.0326703,1.0074591,0.0,0.0706385
20180412_130811_SHELL_M55_6330427474,0.0324612,0.575379,0.0,0.0550005
20180412_131331_SHELL_M55_6330427474,0.034575699999999994,0.8125757,0.0,0.0557905
20180412_131851_SHELL_M55_6330427474,0.0353425,0.7272515,0.0,0.0608328
20180424_151125_SHELL_M55_6320427304,0.354441,0.6115067,0.0046861,0.13363930000000002
20180424_151646_SHELL_M55_6320427304,0.0,0.0,0.2998132,0.0
20180424_152206_SHELL_M55_6320427304,0.3378112,0.6276074,0.0031722,0.198885
20180424_152726_SHELL_M55_6320427304,0.0,0.0,0.1579316,0.0
20180424_153246_SHELL_M55_6320427304,0.3387484,0.6075891999999999,0.0004326,0.2733828
20180424_153805_SHELL_M55_6320427304,0.1198774,0.0339652,0.0,0.0002788
20180424_154325_SHELL_M55_6320427304,0.3101028,0.5769007,0.0,0.3424734
20180424_154845_SHELL_M55_6320427304,0.1299086,0.062022,0.0,0.0434904
20180424_155405_SHELL_M55_6320427304,0.30598990000000004,0.5095312,0.0,0.39208980000000004
20180424_155925_SHELL_M55_6320427304,0.3424234,0.0268696,0.0082966,0.1219508
20180424_160444_SHELL_M55_6320427304,0.2997073,0.4772615,0.0,0.368768
20180424_161004_SHELL_M55_6320427304,0.5056214,0.0772146,0.0022156,0.1364226
20180424_161524_SHELL_M55_6320427304,0.30308650000000004,0.4198138,0.0,0.359154
20180424_162044_SHELL_M55_6320427304,0.250218,0.088953,0.0006128,0.1141491
20180424_162604_SHELL_M55_6320427304,0.3050141,0.3505866,0.0004522,0.2915923
20180424_163123_SHELL_M55_6320427304,0.270486,0.1387837,0.0022736,0.11296899999999999
20180424_163643_SHELL_M55_6320427304,0.29435279999999997,0.32567029999999997,0.0,0.2336691
20180424_164203_SHELL_M55_6320427304,0.2698228,0.1857,9.47e-05,0.1209264
20180424_164723_SHELL_M55_6320427304,0.2989769,0.2569628,0.0,0.1876895
20180424_165242_SHELL_M55_6320427304,0.2898352,0.2169382,0.0,0.14847010000000002
20180511_144837_SHELL_M55_6330431474,0.0033249,0.055812400000000005,0.0007615,0.0060153
20180511_145530_SHELL_M55_6320427254,0.0122039,0.1249102,0.0181776,0.0171778
20180511_150129_SHELL_M55_6320427321,0.0,0.0908095,0.040813300000000004,0.009029800000000001
20180511_151019_SHELL_M55_6320427434,0.000203,0.0999241,0.033172600000000003,0.012842699999999999
20180511_151939_SHELL_M55_6320427304,0.2297713,0.0456876,0.0256384,0.0079991
20180511_152617_SHELL_M55_6330431026,0.0151523,0.169957,0.0817352,0.0024357
20180511_153148_SHELL_M55_6320427328,0.025741,0.1041689,0.0065891,0.011844799999999999
20180511_153730_SHELL_M55_6330431023,0.106143,0.12691,0.0136397,0.0104093
20180511_154347_SHELL_M55_6330431019,0.0,0.07576139999999999,0.0023075,0.0116653
20211130_144654_SHELL_M55_6330430956,0.3862656,0.016745,0.0777189,0.4568747
20211130_144824_SHELL_M55_6330430956,0.0351084,0.0003432,0.051215899999999995,0.1392567
20211130_145011_SHELL_M55_6330430956,0.0021019,0.0,0.100744,0.0057983
20211130_145141_SHELL_M55_6330430956,0.0,0.0021958999999999998,0.0510662,0.0044162
20211130_145311_SHELL_M55_6330430956,0.0,0.003855,0.0913726,0.0312057
20211130_154058_SHELL_M55_6330430956,0.0,0.0,0.0203088,0.0
20211130_154319_SHELL_M55_6330430956,0.0,0.0002862,0.0,0.0
20211130_154440_SHELL_M55_6330430956,0.0,0.5306174,0.025219600000000002,0.0005388
20211130_154602_SHELL_M55_6330430956,0.9607516,1.3068922,0.008191,0.009197
20211130_154723_SHELL_M55_6330430956,0.5419914,2.1389968,0.0,0.0083694
20220127_135826_SHELL_M55_6330431475,0.0009343999999999999,0.000202,0.0261132,1.1897113
20220127_135952_SHELL_M55_6330431475,0.0003031,0.0001515,0.0033841,0.1452636
20220127_140118_SHELL_M55_6330431475,0.0,0.0006091,0.0085534,0.0023096
20220127_140244_SHELL_M55_6330431475,0.0,0.0036222,0.0051271,0.0046934
20220127_140409_SHELL_M55_6330431475,0.0,0.0011422,0.0022842,0.0280201
20220127_141045_SHELL_M55_6330431029,0.0019445999999999999,0.0,0.019421,1.6297193
20220127_141211_SHELL_M55_6330431029,0.021339900000000002,0.0010607,0.00942,0.0350531
20220127_141337_SHELL_M55_6330431029,0.0,0.0,0.027208100000000002,0.0
20220127_141503_SHELL_M55_6330431029,0.0,0.0005612,0.0,0.0177282
20220127_141629_SHELL_M55_6330431029,0.0,0.0097442,0.0005102,0.0311966
20220127_142935_SHELL_M55_6330431029,7.7220813,0.0,0.0,0.0
20220127_143008_SHELL_M55_6330431029,24.019274199999998,0.0,0.0,0.0
20220127_143037_SHELL_M55_6330431029,2.1685959,0.0010661,0.0034775,0.0
20220127_143101_SHELL_M55_6330431029,3.9698222000000003,0.0,0.0,0.0
20220127_143124_SHELL_M55_6330431029,0.6552791,0.0,0.0,0.0
20220127_144641_SHELL_M55_6320427738,13.3318205,0.0,0.0,0.0
20220127_144709_SHELL_M55_6320427738,16.54933,0.0,0.0,0.0
20220127_144738_SHELL_M55_6320427738,5.1096297,0.0,0.0013076,0.0
20220127_144801_SHELL_M55_6320427738,3.8489656,0.0,0.0,0.0
20220127_144825_SHELL_M55_6320427738,1.4103551,0.0,0.0,0.0
20220127_145307_SHELL_M55_6330431481,12.2705429,0.0006222,0.0,0.0
20220127_145336_SHELL_M55_6330431481,17.2492,0.0,0.0,0.0
20220127_145405_SHELL_M55_6330431481,3.9250446,0.0001263,0.0,0.0
20220127_145428_SHELL_M55_6330431481,3.4539232,0.0,0.0,0.0
20220127_145450_SHELL_M55_6330431481,0.8995376,0.0,0.0,0.0
20220127_145922_SHELL_M55_6320427256,5.667573,0.0,0.0,0.0
20220127_145951_SHELL_M55_6320427256,0.5355035,0.0157266,0.0019252,0.0
20220127_150020_SHELL_M55_6320427256,3.6331792,0.0,0.0009092,0.0
20220127_150043_SHELL_M55_6320427256,4.0581862,0.0,0.0,0.0
20220127_150106_SHELL_M55_6320427256,0.833883,0.0,0.0,0.0
20220127_150319_SHELL_M55_6320427670,5.6785642,0.0,0.0,0.0
20220127_150348_SHELL_M55_6320427670,12.6584909,0.0,0.0,0.0
20220127_150416_SHELL_M55_6320427670,7.5099492,0.0,0.0,0.0
20220127_150439_SHELL_M55_6320427670,2.1862373,0.0,0.0,0.0
20220127_150502_SHELL_M55_6320427670,1.5951208000000001,0.0,0.0,0.0
20220127_150737_SHELL_M55_6330431480,9.7819141,0.0,0.0,0.0
20220127_150805_SHELL_M55_6330431480,2.2373985,0.0023138,0.0,0.0
20220127_150834_SHELL_M55_6330431480,4.8396699,0.0,0.0008122,0.0
20220127_150857_SHELL_M55_6330431480,3.500939,0.0,0.0,0.0
20220127_150920_SHELL_M55_6330431480,1.3021572,0.0,0.0,0.0
20220127_151126_SHELL_M55_6330431090,10.9656664,0.0,0.0,0.0
20220127_151155_SHELL_M55_6330431090,9.1134249,0.0042544,0.0,0.0
20220127_151224_SHELL_M55_6330431090,6.9265873000000004,7.65e-05,0.0,0.0
20220127_151247_SHELL_M55_6330431090,4.0147951,0.0,0.0,0.0
20220127_151310_SHELL_M55_6330431090,1.4522869999999999,0.0,0.0,0.0
20220127_151516_SHELL_M55_6330431042,14.3321221,0.0,0.0,0.0
20220127_151545_SHELL_M55_6330431042,16.182944,0.0,0.0,0.0
20220127_151614_SHELL_M55_6330431042,5.0459407,0.0,0.0003826,0.0
20220127_151637_SHELL_M55_6330431042,3.6838071,0.0,0.0,0.0
20220127_151659_SHELL_M55_6330431042,0.7855837999999999,0.0,0.0,0.0
20220127_151920_SHELL_M55_6330431038,5.7776571,0.0,0.0,0.0
20220127_151948_SHELL_M55_6330431038,14.9203651,0.0,0.0,0.0
20220127_152017_SHELL_M55_6330431038,5.1747571,0.0002296,0.0013264000000000001,0.0
20220127_152040_SHELL_M55_6330431038,3.7816497,0.0,0.0,0.0
20220127_152103_SHELL_M55_6330431038,0.6215481,0.0,0.0,0.0
20220127_155428_SHELL_M55_6320427431,9.5866428,0.0,0.0,0.0
20220127_155456_SHELL_M55_6320427431,10.1270048,0.0021574,0.0,0.0
20220127_155525_SHELL_M55_6320427431,3.7304848,0.0,0.0,0.0
20220127_155548_SHELL_M55_6320427431,2.6065048,0.0,0.0,0.0
20220127_155611_SHELL_M55_6320427431,0.8956891,0.0,0.0,0.0
20220128_083635_SHELL_M55_6320427317,11.374573400000001,0.0,0.0,0.0
20220128_083703_SHELL_M55_6320427317,16.0894254,0.0,0.0,0.0
20220128_083732_SHELL_M55_6320427317,4.1617013,0.0,0.0,0.0
20220128_083755_SHELL_M55_6320427317,2.8402041000000002,0.0,0.0,0.0
20220128_083818_SHELL_M55_6320427317,1.8771318000000001,0.0,0.0,0.0
20220128_092426_SHELL_M55_6320427325,3.9338018999999997,0.0002152,0.0,0.0
20220128_092454_SHELL_M55_6320427325,0.6174618,0.0093259,0.0,0.0
20220128_092523_SHELL_M55_6320427325,5.699207,0.0,5.1e-05,0.0
20220128_092546_SHELL_M55_6320427325,3.7763437,0.0,0.0,0.0
20220128_092609_SHELL_M55_6320427325,0.9645939,0.0,0.0,0.0
20220128_093636_SHELL_M55_6320427390,12.0219763,0.0,0.0,0.0
20220128_093705_SHELL_M55_6320427390,8.3217497,0.0001256,0.0,0.0
20220128_093734_SHELL_M55_6320427390,3.2099236,0.0,0.0022589,0.0
20220128_093757_SHELL_M55_6320427390,4.1161676,0.0,0.0,0.0
20220128_093820_SHELL_M55_6320427390,0.3515923,0.0,0.0,0.0
20220128_094342_SHELL_M55_6320427797,15.9552473,0.0,0.0,0.0
20220128_094411_SHELL_M55_6320427797,11.2473801,0.0003251,0.0,0.0
20220128_094440_SHELL_M55_6320427797,4.5097857999999995,0.0,0.0004041,0.0
20220128_094503_SHELL_M55_6320427797,3.6906837,0.0,0.0,0.0
20220128_094526_SHELL_M55_6320427797,1.110589,0.0,0.0,0.0
20220128_094844_SHELL_M55_6320427723,17.3587742,0.0,0.0,0.0
20220128_094913_SHELL_M55_6320427723,13.476647999999999,0.0,0.0,0.0
20220128_095038_SHELL_M55_6320427723,4.1759394,0.0034772,0.0,0.0
20220128_095101_SHELL_M55_6320427723,3.6507869,0.0,0.0,0.0
20220128_095124_SHELL_M55_6320427723,0.3332741,0.0,0.0,0.0
20220128_095627_SHELL_M55_6330431268,5.4131471,0.0,0.0,0.0
20220128_095656_SHELL_M55_6330431268,14.8269561,0.0,0.0,0.0
20220128_095725_SHELL_M55_6330431268,2.3776019,0.0,0.0003061,0.0
20220128_095748_SHELL_M55_6330431268,2.5960302,0.0,0.0,0.0
20220128_095810_SHELL_M55_6330431268,1.0157838,0.0,0.0,0.0
20220128_100356_SHELL_M55_6320427394,8.19513,0.0,0.0,0.0
20220128_100424_SHELL_M55_6320427394,20.2091523,0.0,0.0,0.0
20220128_100453_SHELL_M55_6320427394,2.5066832,0.0009184,0.0012755,0.0
20220128_100516_SHELL_M55_6320427394,4.4199237,0.0,0.0,0.0
20220128_100539_SHELL_M55_6320427394,0.7796192,0.0,0.0,0.0
20220128_100751_SHELL_M55_6320427430,12.6900699,0.0,0.0,0.0
20220128_100820_SHELL_M55_6320427430,15.9912868,0.0,0.0,0.0
20220128_100849_SHELL_M55_6320427430,3.8355808000000002,0.0,0.0,0.0
20220128_100912_SHELL_M55_6320427430,3.2264719,0.0,0.0,0.0
20220128_100935_SHELL_M55_6320427430,1.0615231,0.0,0.0,0.0
20220128_101244_SHELL_M55_6320427726,15.2277325,0.0,0.0,0.0
20220128_101313_SHELL_M55_6320427726,20.9019115,0.0,0.0,0.0
20220128_101341_SHELL_M55_6320427726,4.1021573,0.0,0.0,0.0
20220128_101404_SHELL_M55_6320427726,3.7459387,0.0005329,0.0,0.0
20220128_101427_SHELL_M55_6320427726,1.0867512,0.0,0.0,0.0
20220128_101705_SHELL_M55_6330431035,9.9003296,0.0,0.0,0.0
20220128_101734_SHELL_M55_6330431035,5.9055158,0.0038004,0.0,0.0
20220128_101802_SHELL_M55_6330431035,2.6659387,0.0,0.0,0.0
20220128_101825_SHELL_M55_6330431035,3.9403805,0.0,0.0,0.0
20220128_101848_SHELL_M55_6330431035,1.1856849999999999,0.0,0.0,0.0
20220128_102153_SHELL_M55_6330431488,6.558421,0.0,0.0,0.0
20220128_102222_SHELL_M55_6330431488,20.2438819,0.0,0.0,0.0
20220128_102251_SHELL_M55_6330431488,3.5674567,0.0,0.0,0.0
20220128_102314_SHELL_M55_6330431488,3.3611418,0.0,0.0,0.0
20220128_102338_SHELL_M55_6330431488,0.8004823,0.0,0.0,0.0
20220128_102604_SHELL_M55_6330431028,9.7190713,2.39e-05,0.0,0.0
20220128_102633_SHELL_M55_6330431028,17.3222323,0.0,0.0,0.0
20220128_102702_SHELL_M55_6330431028,3.0718018,0.0,7.61e-05,0.0
20220128_102725_SHELL_M55_6330431028,2.7882162,0.0,0.0,0.0
20220128_102748_SHELL_M55_6330431028,0.535,0.0,0.0,0.0
20220128_103118_SHELL_M55_6320427665,15.932678,0.0,0.0,0.0
20220128_103147_SHELL_M55_6320427665,8.8486356,0.0,0.0,0.0
20220128_103215_SHELL_M55_6320427665,5.5000001,0.0,0.0005076,0.0
20220128_103238_SHELL_M55_6320427665,3.605736,0.0,0.0,0.0
20220128_103301_SHELL_M55_6320427665,1.3779188,0.0,0.0,0.0
20220128_103544_SHELL_M55_6320427227,6.4736126,0.0,0.0,0.0
20220128_103613_SHELL_M55_6320427227,14.5014146,0.0,0.0,0.0
20220128_103642_SHELL_M55_6320427227,5.5847448,0.0,0.0,0.0
20220128_103705_SHELL_M55_6320427227,3.3707112,0.0,0.0,0.0
20220128_103728_SHELL_M55_6320427227,1.286142,0.0,0.0,0.0
20220128_104336_SHELL_M55_6330431058,11.0934928,0.0,0.0,0.0
20220128_104405_SHELL_M55_6330431058,12.3280831,0.0,0.0,0.0
20220128_104434_SHELL_M55_6330431058,3.8052666,0.0,2.51e-05,0.0
20220128_104457_SHELL_M55_6330431058,4.5219245,0.0,0.0,0.0
20220128_104520_SHELL_M55_6330431058,1.1142132,0.0,0.0,0.0
20220128_104856_SHELL_M55_6320427722,3.3104279,0.0,0.0,0.0
20220128_104925_SHELL_M55_6320427722,14.3833862,0.0,0.0,0.0
20220128_104953_SHELL_M55_6320427722,2.8484226,0.0,0.0,0.0
20220128_105016_SHELL_M55_6320427722,3.0099752,0.0,0.0,0.0
20220128_105039_SHELL_M55_6320427722,0.3622243,0.0011112,0.0,0.0
20220128_105256_SHELL_M55_6330430951,11.7512801,0.0,0.0,0.0
20220128_105325_SHELL_M55_6330430951,20.3342673,0.0,0.0,0.0
20220128_105354_SHELL_M55_6330430951,3.2569135,0.0,0.0,0.0
20220128_105417_SHELL_M55_6330430951,2.5270303,0.0,0.0,0.0
20220128_105440_SHELL_M55_6330430951,1.4561203,0.0,0.0,0.0
20220128_105702_SHELL_M55_6330431024,16.0412984,0.0,0.0,0.0
20220128_105731_SHELL_M55_6330431024,14.0083585,0.0,0.0,0.0
20220128_105800_SHELL_M55_6330431024,2.1138013,0.0011225,0.008418400000000001,0.0
20220128_105823_SHELL_M55_6330431024,3.1953043,0.0,0.0,0.0
20220128_105846_SHELL_M55_6330431024,0.6793148999999999,0.0,0.0,0.0
20220128_110402_SHELL_M55_6320427218,8.786682,0.0,0.0,0.0
20220128_110431_SHELL_M55_6320427218,17.4224051,0.0,0.0,0.0
20220128_110641_SHELL_M55_6320427218,2.9680358,0.0007143,0.0010969,2.55e-05
20220128_110704_SHELL_M55_6320427218,4.7270561,0.0,0.0,0.0
20220128_110727_SHELL_M55_6320427218,1.7402536,0.0,0.0,0.0
20220128_111519_SHELL_M55_6330431271,7.0675486,0.0,0.0,0.0
20220128_111548_SHELL_M55_6330431271,6.446335299999999,0.0,0.0,0.0
20220128_111617_SHELL_M55_6330431271,1.6544064,0.0,0.0,0.0
20220128_111640_SHELL_M55_6330431271,2.9615374,0.0,0.0,0.0
20220128_111703_SHELL_M55_6330431271,0.7070264,0.0,0.0,0.0
20220128_111918_SHELL_M55_6330431018,17.328106899999998,0.0,0.0,0.0
20220128_111947_SHELL_M55_6330431018,16.5874913,0.0,0.0,0.0
20220128_112015_SHELL_M55_6330431018,4.2265737,0.000533,0.0,0.0
20220128_112039_SHELL_M55_6330431018,3.1918521,0.0,0.0,0.0
20220128_112102_SHELL_M55_6330431018,0.9379042,0.0,0.0,0.0
20220128_112343_SHELL_M55_6330431041,5.6729343,0.0,0.0,0.0
20220128_112412_SHELL_M55_6330431041,14.8577396,0.0,0.0,0.0
20220128_112441_SHELL_M55_6330431041,3.9190845,2.53e-05,5.05e-05,0.0
20220128_112504_SHELL_M55_6330431041,3.3234585,0.0,0.0,0.0
20220128_112527_SHELL_M55_6330431041,1.1241002,0.0,0.0,0.0
20220128_112750_SHELL_M55_6330431066,11.4543974,0.0,0.0,0.0
20220128_112819_SHELL_M55_6330431066,19.289466,0.0,0.0,0.0
20220128_112848_SHELL_M55_6330431066,4.5988578,0.0,0.0,0.0
20220128_112912_SHELL_M55_6330431066,3.0803803,0.0,0.0,0.0
20220128_112934_SHELL_M55_6330431066,1.5626904,0.0,0.0,0.0
20220128_113142_SHELL_M55_6330431023,7.2119879,0.0,0.0,0.0
20220128_113211_SHELL_M55_6330431023,19.6425734,0.0,0.0,0.0
20220128_113240_SHELL_M55_6330431023,2.4146607,0.0,0.0058300999999999995,0.0
