identifier_defect,Measurement_DateTime,square,ring,crack,bright_crack,hotspot,gridline_darkening,near_busbar,shattered
20220114_094014_SHELL_M55_6320427793,2022-01-14 09:40:14,0.9721271016666666,0.004471616133333333,0.025117696633333336,0.008044466617777779,0.05393406521277778,0.0010805123752777777,0.0008221143675,0.00029908340944444445
20220114_100548_SHELL_M55_6330431470,2022-01-14 10:05:48,0.967098341388889,0.003361168661111111,0.019376939897222223,0.007433990286111112,0.05424323831261111,0.0008757643944444445,0.0007194336591666667,0.00028163058027777776
20220114_101208_SHELL_M55_6330431284,2022-01-14 10:12:08,0.9553042477777777,0.011607759727777778,0.021908309058333336,0.007910868311666666,0.055324678079333334,0.0010813396980555556,0.0007828636555555555,0.00030276672036111114
20220114_103746_SHELL_M55_6320427433,2022-01-14 10:37:46,0.9641289519444444,0.014304564455277776,0.019402726536111112,0.00871672465,0.048477194143055555,0.0012574924872222222,0.0007741030497222223,0.0003015499348333333
20220114_110134_SHELL_M55_6330431018,2022-01-14 11:01:34,0.9730547422222222,0.005058614405555556,0.0206165303,0.008221261556944444,0.05332550364844444,0.000998971115,0.0008274173913888889,0.00029158843402777776
20220114_112417_SHELL_M55_6320427401,2022-01-14 11:24:17,0.9664245344444444,0.004140290030555555,0.021674301536111114,0.007225632525000001,0.05485024924861111,0.0011686740324999998,0.0008054861097222223,0.0002691795013888889
20220114_112828_SHELL_M55_6320427227,2022-01-14 11:28:28,0.9680173647222223,0.005307427511111112,0.02073765536388889,0.008359888300833333,0.05471889313638889,0.0010676760330555557,0.0007818672861111111,0.00029737443341666664
20220114_113254_SHELL_M55_6320427227,2022-01-14 11:32:54,0.9649316119444445,0.003059626101388889,0.026653904250000002,0.007244750070555556,0.05544361315666666,0.0011190110344444443,0.0007747656036111111,0.00027338028166666665
20220114_113523_SHELL_M55_6330431487,2022-01-14 11:35:23,0.9691943969444444,0.005077799436111111,0.018118493483333335,0.006941588348333334,0.05413801748561112,0.001002984733611111,0.0006513311291666666,0.00025846373305555556
20220114_120703_SHELL_M55_6320427763,2022-01-14 12:07:03,0.9648453105555556,0.008974394169444445,0.014048198902777777,0.011401113425555555,0.05438415965083333,0.0019033809658333335,0.0008627252022222222,0.0003251738588888889
20220114_121159_SHELL_M55_6330431058,2022-01-14 12:11:59,0.974883726388889,0.005642014463888889,0.020453285383333335,0.007258813969444444,0.053675710312805554,0.0013332673911111111,0.0006870825911111111,0.00027656298605555557
20220114_121433_SHELL_M55_6330431058,2022-01-14 12:14:33,0.9646812952777777,0.002944821238888889,0.0201781063,0.008184842546944444,0.05510397714608333,0.0008328201661111112,0.0006558950652777777,0.00025442658105555554
20220114_122215_SHELL_M55_6320427664,2022-01-14 12:22:15,0.9428205747222224,0.03722501716111112,0.020684837722222224,0.010904197884722223,0.05110596901555556,0.0015498098947222222,0.0009641322566666668,0.00032230074372222224
20220114_123137_SHELL_M55_6320427802,2022-01-14 12:31:37,0.9770835430555554,0.006171873986111111,0.02706838961111111,0.011188024483333333,0.04456117696638889,0.001185128233611111,0.0008145060283333333,0.00034119697611111115
20220114_130539_SHELL_M55_6320427549,2022-01-14 13:05:39,0.9686193350000001,0.003671154483333333,0.026778627,0.008739893219444444,0.05469688232611111,0.0011678738830555556,0.0008563290127777778,0.0002929571952777778
20220114_130808_SHELL_M55_6320427549,2022-01-14 13:08:08,0.977676915,0.004433744845833334,0.019755037647222223,0.008264476748888888,0.051270381139722224,0.0010523747275000001,0.0007261377425,0.0002858146052777778
20220114_131149_SHELL_M55_6330431482,2022-01-14 13:11:49,0.9702225877777777,0.004408748647222222,0.021494449444444445,0.00786428230388889,0.053517048195555555,0.001362690613888889,0.0008252677416666666,0.0002883277870277778
20220114_132936_SHELL_M55_6330431269,2022-01-14 13:29:36,0.9597168586111111,0.016846890583333333,0.02644829272777778,0.00846102102,0.05414901253361111,0.0014205152027777777,0.0009995488241666666,0.0003005006961111111
20220114_133224_SHELL_M55_6320427445,2022-01-14 13:32:24,0.9726716772222223,0.0041876681500000006,0.017688675833333334,0.007971634449166666,0.05326682681305556,0.0007789344183333333,0.000656850296388889,0.00026115390091666665
20220114_133520_SHELL_M55_6330432686,2022-01-14 13:35:20,0.9630090761111111,0.007114221047222222,0.022384641233333332,0.008756929986388889,0.05510457197055556,0.0011423186977777776,0.0008400245458333334,0.00030137970944444444
20220114_133758_SHELL_M55_6330431271,2022-01-14 13:37:58,0.9671993230555554,0.005259691463888889,0.019513783541666666,0.0079641147575,0.053993269162777774,0.0009867258080555556,0.0007768652216666666,0.00029000912297222223
20220114_135612_SHELL_M55_6320427721,2022-01-14 13:56:12,0.9533307025000001,0.00661392656388889,0.021984590016666666,0.0083653463325,0.05556777719722223,0.0009731310455555557,0.0008075729991666667,0.00028904367083333333
20220114_135849_SHELL_M55_6330431036,2022-01-14 13:58:49,0.9634392547222222,0.007717302764444444,0.018581449433333334,0.008165579515,0.05440665515027778,0.000985130151388889,0.0007365823508333334,0.00029440212749999996
20220114_140128_SHELL_M55_6320427403,2022-01-14 14:01:28,0.9760063997222223,0.004937695245277778,0.020986327580555558,0.008346527267777779,0.0518495330625,0.0011395311575,0.0006272763022222223,0.0002640816180555555
20220114_140403_SHELL_M55_6330430951,2022-01-14 14:04:03,0.9843898177777777,0.006171349183333333,0.021099108505555558,0.009238040436111112,0.043517248179111116,0.0009612909427777778,0.0006605726722222222,0.00029887569877777776
20220114_140643_SHELL_M55_6330431040,2022-01-14 14:06:43,0.9658131191666666,0.0048863590869444445,0.019363357333333334,0.008679440930555555,0.05434253052683333,0.0011363771452777777,0.0006712613277777778,0.0002820205663888889
20220114_140908_SHELL_M55_6330431028,2022-01-14 14:09:08,0.9644785986111111,0.0065539765222222225,0.021834227697222222,0.008933099782222223,0.054500534845277775,0.0012577244730555557,0.0009114834333333333,0.0003187624661111111
20220114_141143_SHELL_M55_6320427663,2022-01-14 14:11:43,0.9675799541666668,0.003216058886111111,0.021090219152777777,0.008370399536111111,0.05396271375,0.0010546375444444444,0.0007176406097222222,0.00029160833175000003
20220114_141428_SHELL_M55_6320427665,2022-01-14 14:14:28,0.9627199433333333,0.004504785119444445,0.022077289441666665,0.008083064290833334,0.05513203705,0.0008878727655555555,0.0006863239183333334,0.0002802140143055556
20220114_141706_SHELL_M55_6320427333,2022-01-14 14:17:06,0.9664915397222222,0.003292391533333333,0.019703173397222225,0.00790497148388889,0.0546912549138889,0.0010393071841666667,0.0006920352722222223,0.0002867448791666667
20220114_144542_SHELL_M55_6320427722,2022-01-14 14:45:42,0.9709712433333334,0.0038518461166666667,0.023773163069444447,0.008224496682777778,0.05441839784388888,0.0011141642005555556,0.0008198114491666667,0.00026889720111111115
20220114_150422_SHELL_M55_6330431484,2022-01-14 15:04:22,0.9662855463888889,0.0057439809630555555,0.018253004277777776,0.007764259280555556,0.054523931743222225,0.0012686803425,0.0008073806405555555,0.00026815910361111114
20220114_152416_SHELL_M55_6330431024,2022-01-14 15:24:16,0.9701464141666667,0.0042594474499999995,0.017598788041666667,0.008321025711111112,0.05395173124783333,0.001128755583611111,0.000778997946111111,0.00030225859638888887
20220114_152618_SHELL_M55_6320427258,2022-01-14 15:26:18,0.9674467986111112,0.006497675333333333,0.017876585669444445,0.008458058417777779,0.054239173365722225,0.0009183347250000001,0.0005928114116666667,0.00025943213472222223
20220114_154550_SHELL_M55_6320427218,2022-01-14 15:45:50,0.9654787747222221,0.006112322594444445,0.024434365558333334,0.009287332380555556,0.05440363289722222,0.001221637306111111,0.0009283146436111111,0.0003307309858333333
20220114_154829_SHELL_M55_6320427668,2022-01-14 15:48:29,0.9673694636111111,0.007840314479444445,0.018645008747222223,0.009264298211111112,0.053667733259333335,0.0010793722794444445,0.0007753537077777778,0.00029585389769444444
20220114_161117_SHELL_M55_6320427804,2022-01-14 16:11:17,0.9794415680555555,0.006194685530555555,0.020118620091666664,0.008607566708333333,0.045973867125277776,0.001425939268611111,0.000873537978888889,0.0003098964077777778
20220114_163046_SHELL_M55_6330430950,2022-01-14 16:30:46,0.965556161111111,0.004937812788888889,0.026802374875,0.008892835344444443,0.054854305966388885,0.0012561541077777778,0.0008049852555555556,0.00030646674222222224
20220124_150504_SHELL_M55_6330431282,2022-01-24 15:05:04,0.9674035958333334,0.011159180216666667,0.07340443491111111,0.014712475377777777,0.06275296713972223,0.002423356972222222,0.003443806485,0.00029142829277777776
20220124_150914_SHELL_M55_6320427718,2022-01-24 15:09:14,0.9776439691666666,0.006665829906944445,0.05914793430555555,0.014114146578333332,0.029209855468500006,0.0016437155672222221,0.0022062308163888888,0.0003594960396111111
20220124_151220_SHELL_M55_6330431031,2022-01-24 15:12:20,0.9765797108333333,0.003673223791666667,0.07593006230555556,0.009767024958333334,0.05109417019944445,0.0015179851841666666,0.0026839825772222224,0.00025614019844444444
20220124_160036_SHELL_M55_6320427719,2022-01-24 16:00:36,0.9708479172222222,0.0073481041416666665,0.08986344124722222,0.010996283887777777,0.05887289395627778,0.0017660478325000001,0.0026852597372222222,0.00023298894147222223
20220124_160354_SHELL_M55_6320427257,2022-01-24 16:03:54,0.9760637608333335,0.004081811561111111,0.06340700606666666,0.009201919190277777,0.05771511679683334,0.0017602181513888889,0.0023452843802777776,0.00024276426655555556
20220124_160632_SHELL_M55_6330431041,2022-01-24 16:06:32,0.9712616547222223,0.004216444016666667,0.09294406738888888,0.011584654892777777,0.06125190927036111,0.0015796789680555556,0.0025543146913888887,0.00023323701919444444
20220124_161011_SHELL_M55_6320427673,2022-01-24 16:10:11,0.9774575600000001,0.0053093192416666666,0.08460756466111112,0.013888560832777778,0.05437972758572222,0.0017730984144444443,0.0024427624447222224,0.00021377079825
20220124_161606_SHELL_M55_6330430948,2022-01-24 16:16:06,0.9757547336111111,0.004494586761944444,0.07466253896388889,0.009743737132222222,0.06347949768177778,0.0016346156544444445,0.0026470075655555553,0.00021122317977777778
20220124_161921_SHELL_M55_6320427553,2022-01-24 16:19:21,0.975516325,0.0039051505872222223,0.08328975278055556,0.009160089464444444,0.06364005301888889,0.0013861350333333334,0.002345032526111111,0.00021902140186111114
20220124_162220_SHELL_M55_6320427551,2022-01-24 16:22:20,0.9795534499999999,0.0025670915280555555,0.0857488381388889,0.00776533503111111,0.06343444143552777,0.0013998072361111112,0.0024366596658333332,0.00015781809086111111
20220124_162524_SHELL_M55_6330431066,2022-01-24 16:25:24,0.9757190233333333,0.0035894818033333337,0.05950078743611112,0.008755633306944444,0.048454488291222224,0.0015385210080555555,0.0018769565830555554,0.00020893603616666667
20220124_162852_SHELL_M55_6320427724,2022-01-24 16:28:52,0.9645415291666666,0.003547838757222222,0.07171591614444445,0.008439064579722221,0.07738774653602778,0.0013507012555555556,0.002284644109444444,0.00019147102563888888
20220124_163220_SHELL_M55_6330431043,2022-01-24 16:32:20,0.959976813888889,0.0055122116175,0.08851536155277778,0.013720909752222224,0.07418139845822222,0.0018123442791666668,0.0031266567319444445,0.00026492831575
20220124_163524_SHELL_M55_6330431019,2022-01-24 16:35:24,0.9811347775,0.0026639996294444443,0.04531518488888889,0.005526053626388889,0.03748267412305555,0.001672286465,0.00555469838,0.00023289760944444446
20220124_164223_SHELL_M55_6330431023,2022-01-24 16:42:23,0.979005321111111,0.002662366311111111,0.039884417675,0.005133655595,0.040610472078527776,0.0017152823713888889,0.006463589442777778,0.0002025014408611111
20220124_164837_SHELL_M55_6330432606,2022-01-24 16:48:37,0.9821103311111111,0.0019226115461111113,0.06378225663055555,0.0063998148255555555,0.04991464473594445,0.0010487882266666667,0.0020256060277777776,0.00021273061261111112
20220124_165129_SHELL_M55_6320427720,2022-01-24 16:51:29,0.9716894166666665,0.005128713738888889,0.09023248830555557,0.010728853296111111,0.054120909767777774,0.0017986037536111112,0.0025741869172222222,0.00025152011577777775
20220124_165425_SHELL_M55_6330430956,2022-01-24 16:54:25,0.9752597741666666,0.006991815661111112,0.08381087305555555,0.014293396614,0.04332482624555556,0.0020065050019444446,0.0028886571527777776,0.00029658272674999996
20220126_100319_SHELL_M55_6320427440,2022-01-26 10:03:19,0.9717453941666666,0.003077338225,0.10158343230555555,0.01211062118,0.055623061428333335,0.0017027904758333333,0.0009680181083333334,0.00025580099861111116
20220126_101202_SHELL_M55_6320427398,2022-01-26 10:12:02,0.978815336388889,0.0029544456455555556,0.056059625230555556,0.008508447406666668,0.04865926412943333,0.0012056259419444444,0.0016175732727777778,0.00016755284433333332
20220126_101452_SHELL_M55_6320427231,2022-01-26 10:14:52,0.990521915,0.003166794961111111,0.045303426083333334,0.007646517813888889,0.027561332182777776,0.0010571980005555555,0.0022034495375,0.00022282247166666668
20220126_101710_SHELL_M55_6330430948,2022-01-26 10:17:10,0.9898266216666668,0.0031182280225,0.051559012361111115,0.008609686783333332,0.028044740059722222,0.0010498340177777779,0.0028847111530555555,0.0002188940413888889
20220126_101844_SHELL_M55_6330431026,2022-01-26 10:18:44,0.9925929486111111,0.0019460331841666667,0.03986874643611111,0.005049046983333334,0.018477870530833333,0.0010136088680555556,0.0032006244991666668,0.00023442553555555554
20220126_102034_SHELL_M55_6320427276,2022-01-26 10:20:34,0.9911951097222222,0.002406745447222222,0.05381456080555555,0.007294229021388888,0.027391490363194444,0.0009984502555555556,0.002035439722222222,0.0002510810395833333
20220126_102200_SHELL_M55_6320427323,2022-01-26 10:22:00,0.9902199508333334,0.0020970295386111113,0.06512668819444445,0.007592597305555555,0.025538252626944445,0.0011239490994444444,0.0026141156508333336,0.00025721544416666665
20220126_102338_SHELL_M55_6330430949,2022-01-26 10:23:38,0.9882449755555557,0.0036038100375,0.0462078925,0.008235671716666665,0.02514945607788889,0.0013223223072222222,0.0021447692330555557,0.00022864989794444443
20220126_102355_SHELL_M55_6330430949,2022-01-26 10:23:55,0.9895947391666667,0.0038886645622222223,0.04801125575,0.008966899608333334,0.020981568565,0.0017378509394444445,0.0027951568308333336,0.00024102214194444445
20220126_102513_SHELL_M55_6320427432,2022-01-26 10:25:13,0.9917395847222222,0.0026264219983333334,0.04368317575,0.007442946644444445,0.028041591979416667,0.0008277938691666667,0.0018097679794444445,0.00021473092041666666
20220126_102638_SHELL_M55_6330431111,2022-01-26 10:26:38,0.9913530213888888,0.0027939190119444443,0.06242112652777777,0.007369651758888889,0.02779426174022222,0.0009994709399999998,0.002560339517222222,0.00020915357416666667
20220126_102758_SHELL_M55_6330432695,2022-01-26 10:27:58,0.9935500294444446,0.0021283253869444443,0.037215375249999995,0.007158339908333333,0.025010840801555554,0.0008020588425,0.0021189153975,0.0002004516617777778
20220126_103132_SHELL_M55_6320427306,2022-01-26 10:31:32,0.9900495802777777,0.002544616421388889,0.050867644999999996,0.008194586658333333,0.028543614205555554,0.0011633535366666666,0.0033158776497222223,0.00024657851516666666
20220126_103347_SHELL_M55_6320427400,2022-01-26 10:33:47,0.9921013244444445,0.0018414433158333333,0.041094025388888886,0.006958415998333333,0.027985842022666668,0.0007280243655555556,0.0016386992319444443,0.0001727400237777778
20220126_103536_SHELL_M55_6320427340,2022-01-26 10:35:36,0.9903873158333334,0.0016666685299999999,0.04081418027777778,0.005607628155555555,0.029782677265444448,0.0007062338366666666,0.0013880234494444445,0.00015887460294444444
20220126_103656_SHELL_M55_6320427439,2022-01-26 10:36:56,0.9904658566666666,0.0019593093319444444,0.053513870972222224,0.006156217744444445,0.025745692283805556,0.0008401489091666666,0.0019717177325,0.00014860072725
20220126_103840_SHELL_M55_6330431039,2022-01-26 10:38:40,0.9916524113888888,0.003466694161111111,0.05745900658333333,0.011768973572222223,0.0202689706825,0.0011365018697222222,0.002315441026111111,0.00024703058655555556
20220126_103951_SHELL_M55_6320427436,2022-01-26 10:39:51,0.9922049425,0.0032784398799999997,0.046963197250000005,0.010735819391666667,0.017989020898166667,0.001012745629722222,0.0016124959986111112,0.0002094110133611111
20220126_104111_SHELL_M55_6330431037,2022-01-26 10:41:11,0.9902883166666666,0.004356329256944445,0.049942658555555554,0.009888866158333334,0.019345561842611114,0.0012923224388888888,0.0027653461130555555,0.00023573046988888892
20220126_104235_SHELL_M55_6330431479,2022-01-26 10:42:35,0.98516162,0.0028442161980555556,0.05522778208333333,0.006152708452777778,0.034310698995,0.0011229796844444443,0.003494879405,0.00019275847955555557
20220126_104352_SHELL_M55_6320427552,2022-01-26 10:43:52,0.986760316388889,0.0028614648016666664,0.04422315983333333,0.006633659730555555,0.027582874334,0.0009915356455555556,0.0021958392397222223,0.00016753482644444445
20220126_104511_SHELL_M55_6320427255,2022-01-26 10:45:11,0.9852433597222223,0.003879787049444444,0.04751774508333333,0.00718270445,0.03018124295013889,0.0009601882225,0.0046901075666666665,0.00021032212666666667
20220126_104633_SHELL_M55_6320427806,2022-01-26 10:46:33,0.9848006791666667,0.0035927762472222225,0.05716508486111111,0.008660524194444444,0.033789021478055556,0.0010694742544444446,0.004997268252222222,0.0002207171435
20220126_104757_SHELL_M55_6330431469,2022-01-26 10:47:57,0.9906943458333333,0.002399183156388889,0.053113843263888884,0.00833580185,0.028433228907194446,0.0009242188291666666,0.0019878390541666667,0.00018831176222222222
20220126_104912_SHELL_M55_6320427662,2022-01-26 10:49:12,0.9921470972222222,0.0023498056161111113,0.052528879361111114,0.007116918794444444,0.022538126921722225,0.0010030079202777778,0.0026375893241666667,0.00017415716094444444
20220126_105045_SHELL_M55_6320427261,2022-01-26 10:50:45,0.9867351419444444,0.0035169670661111107,0.05011132280555555,0.009149509095833334,0.03531315974430556,0.0011342415302777779,0.002898727236388889,0.00021773337016666664
20220126_105241_SHELL_M55_6330431057,2022-01-26 10:52:41,0.9893447666666666,0.0031772874091666667,0.04585599005555555,0.007227246452777777,0.02557994821527778,0.0010435033519444444,0.0031878289583333335,0.0002107206353888889
20220126_105413_SHELL_M55_6320427388,2022-01-26 10:54:13,0.9871060405555555,0.0033280781894444444,0.054436014972222224,0.008146127436111112,0.03027316390722222,0.001249945151388889,0.0028320634261111114,0.0002055105623611111
20220126_105600_SHELL_M55_6320427428,2022-01-26 10:56:00,0.9884655916666666,0.002450605562222222,0.053369252444444445,0.006379460247222222,0.028352520159638888,0.0010738465133333334,0.0030090524644444446,0.0001605592426388889
20220126_105859_SHELL_M55_6330431487,2022-01-26 10:58:59,0.9889447655555555,0.003716619702777778,0.06434135566666667,0.007916156161111111,0.028549536812777776,0.0011513492469444444,0.004020972059722222,0.00017714493222222222
20220126_110544_SHELL_M55_6330431470,2022-01-26 11:05:44,0.9921425069444444,0.0022373733805555554,0.03652322655555555,0.006978974594444445,0.02024913008672222,0.0009542120383333334,0.0019070145886111109,0.00018240724794444445
20220126_110811_SHELL_M55_6320427663,2022-01-26 11:08:11,0.9905567933333335,0.0017812435547222222,0.052298138555555554,0.005643943772222222,0.027043673708611115,0.000935575925,0.0028334830136111113,0.00016433993433333336
20220126_111104_SHELL_M55_6330431040,2022-01-26 11:11:04,0.9895090463888889,0.002237842395,0.050836563305555554,0.008222351708333332,0.03442998027094444,0.0009427352683333333,0.0017118704974999998,0.0001864150148611111
20220126_111253_SHELL_M55_6320427763,2022-01-26 11:12:53,0.9936671411111111,0.003857914622222222,0.048529505861111114,0.007701050563888889,0.0028330578031666664,0.0012346729908333334,0.0018511437705555555,0.00020842559591666666
20220126_111546_SHELL_M55_6320427401,2022-01-26 11:15:46,0.9887260377777777,0.001849195528888889,0.04980714866666666,0.005802013008333333,0.02979574866488889,0.0009248191872222222,0.0029090924805555557,0.00016160465452777777
20220126_111716_SHELL_M55_6330431490,2022-01-26 11:17:16,0.9884792,0.0026149366199999997,0.05315134591666667,0.006750017446111111,0.02759967077675,0.0009794996575,0.0025121459133333334,0.00020497096569444445
20220126_111944_SHELL_M55_6320427227,2022-01-26 11:19:44,0.9934200105555556,0.0019018857500000001,0.07089340027777778,0.007136169597222222,0.0136849504525,0.001054984981111111,0.0021450791280555556,0.0001867465773888889
20220126_112145_SHELL_M55_6320427665,2022-01-26 11:21:45,0.9889807186111111,0.002231965979166667,0.05067827141666667,0.008013604757222223,0.02878848743363889,0.0009630611719444444,0.0026315971052777777,0.00017946432119444444
20220126_112347_SHELL_M55_6330431028,2022-01-26 11:23:47,0.9915200991666667,0.002230835037777778,0.058703361611111116,0.0065175933972222225,0.018991785191,0.0009877599208333334,0.0023029148091666665,0.0001843565787777778
20220126_112514_SHELL_M55_6320427316,2022-01-26 11:25:14,0.9936023891666667,0.0026220927,0.05071658438888889,0.007074615133333333,0.004078826558611111,0.0010029340508333334,0.0014286043436111111,0.00019188190305555555
20220126_112708_SHELL_M55_6320427664,2022-01-26 11:27:08,0.9948386522222221,0.0022181244994444443,0.055395946555555554,0.0097702356675,0.018896928056666665,0.0009987548066666668,0.001877112571111111,0.00019035910541666666
20220126_112845_SHELL_M55_6330431058,2022-01-26 11:28:45,0.9906176766666667,0.00555352678888889,0.038433356083333335,0.008280424863888889,0.015940231070944444,0.0012780466783333334,0.0025431130366666667,0.00018733111683333334
20220126_113013_SHELL_M55_6320427722,2022-01-26 11:30:13,0.9889701597222221,0.0024186359555555554,0.053294177194444445,0.008953985619444445,0.028629529797916664,0.001143869016388889,0.0040456124925,0.00022660245705555558
